site_id,country,latitude,longitude,As_ugL,Pb_ugL,Cd_ugL,Cr_ugL,Hg_ugL,HPI,HEI,MI,risk_category,water_safe
S0681,Germany,53.6369,11.4418,3.489,1.243,0.666,30.372,0.493,35.91,1.8,0.61,Low,Yes
S0683,Germany,48.5226,6.2452,3.464,4.069,0.375,22.527,0.129,29.16,1.46,0.45,Low,Yes
S0684,Germany,49.7107,11.7667,15.86,6.599,5.208,77.593,0.389,118.46,5.92,1.74,Critical,No
S0685,Germany,56.736,13.4922,4.034,6.166,0.323,17.54,0.489,39.35,1.97,0.62,Low,Yes
S0686,Germany,50.1693,7.9848,3.241,4.511,0.362,29.313,0.535,40.34,2.02,0.59,Low,Yes
S0687,Germany,49.1075,9.1064,2.635,6.883,0.317,14.662,0.145,29.91,1.5,0.69,Low,Yes
S0688,Germany,53.1442,9.2988,5.683,4.64,1.448,21.612,0.539,49.72,2.49,0.57,Low,Yes
S0689,Germany,50.0728,11.2145,1.503,4.084,1.099,74.609,0.597,60.28,3.01,1.49,Moderate,Borderline
S0691,Germany,50.2708,12.5916,2.88,3.34,1.973,30.918,0.658,51.12,2.56,0.66,Low,Yes
S0692,Germany,46.1108,11.6689,14.519,3.035,1.461,23.276,0.259,59.34,2.97,1.45,Low,Yes
S0693,Germany,50.1889,9.9178,4.341,4.551,3.279,22.894,0.148,51.76,2.59,1.09,Low,Yes
S0694,Germany,45.214,11.8354,5.323,2.997,1.468,77.86,0.326,64.09,3.2,1.56,Moderate,Borderline
S0695,Germany,52.0288,13.7304,2.513,3.042,0.833,9.961,0.165,23.95,1.2,0.3,Low,Yes
S0696,Germany,51.1592,12.5959,5.349,4.78,0.842,19.944,0.272,39.29,1.96,0.53,Low,Yes
S0697,Germany,50.3399,9.6178,1.623,1.233,0.791,19.55,0.411,27.03,1.35,0.41,Low,Yes
S0698,Germany,48.0621,10.4901,6.982,3.089,0.955,18.628,0.164,37.24,1.86,0.7,Low,Yes
S0699,Germany,48.4785,12.0617,1.872,6.856,3.953,22.14,0.41,60.87,3.04,1.32,Moderate,Borderline
S0700,Germany,49.3134,10.1731,2.89,6.704,0.711,11.035,0.612,40.58,2.03,0.67,Low,Yes
S0701,Canada,56.3037,-113.4359,3.786,11.054,1.896,17.686,0.322,55.83,2.79,1.11,Low,Yes
S0702,Canada,58.0597,-103.7768,5.336,3.028,0.895,14.881,0.339,35.43,1.77,0.53,Low,Yes
S0703,Canada,57.6442,-110.0185,13.903,5.213,1.87,7.587,0.327,60.27,3.01,1.39,Moderate,Borderline
S0704,Canada,54.0848,-102.8167,5.297,2.748,1.76,26.522,0.417,46.77,2.34,0.59,Low,Yes
S0705,Canada,50.0563,-107.3302,3.854,6.916,1.852,19.035,0.637,54.24,2.71,0.69,Low,Yes
S0706,Canada,55.7294,-104.5161,4.606,6.704,1.643,13.057,0.431,47.42,2.37,0.67,Low,Yes
S0707,Canada,55.359,-112.0625,4.704,2.19,1.221,17.331,0.344,35.74,1.79,0.47,Low,Yes
S0708,Canada,62.0804,-99.8202,3.983,3.976,0.527,23.149,0.341,35.51,1.78,0.46,Low,Yes
S0709,Canada,59.7859,-104.06,3.211,5.923,0.61,13.569,1.061,48.98,2.45,1.06,Low,Yes
S0710,Canada,53.4385,-107.9296,2.391,13.435,1.034,25.284,0.533,59.32,2.97,1.34,Low,Yes
S0711,Canada,57.3102,-104.7964,1.56,6.76,1.327,18.288,0.386,40.52,2.03,0.68,Low,Yes
S0712,Canada,56.0064,-108.4377,5.122,4.498,3.966,5.704,0.422,56.4,2.82,1.32,Low,Yes
S0713,Canada,56.549,-108.5028,4.193,6.397,1.025,16.518,0.386,42.34,2.12,0.64,Low,Yes
S0714,Canada,55.7522,-103.6901,5.407,1.113,1.193,15.042,0.519,37.39,1.87,0.54,Low,Yes
S0715,Canada,58.5903,-106.0467,3.935,2.196,0.376,12.456,0.562,30.99,1.55,0.56,Low,Yes
S0716,Canada,54.0169,-107.5448,5.649,3.723,1.537,61.858,0.268,59.09,2.95,1.24,Low,Yes
S0717,Canada,52.9766,-109.3506,4.131,3.287,0.905,53.192,0.351,49.17,2.46,1.06,Low,Yes
S0718,Canada,54.6336,-105.2651,6.078,4.666,1.027,20.361,0.423,44.94,2.25,0.61,Low,Yes
S0719,Canada,56.7254,-105.0958,6.661,2.591,1.824,27.441,0.251,46.66,2.33,0.67,Low,Yes
S0720,Canada,54.6461,-109.0537,2.589,5.25,1.299,29.151,0.489,45.78,2.29,0.58,Low,Yes
S0721,Canada,56.9184,-106.6932,4.697,2.094,1.659,15.131,0.517,41.03,2.05,0.55,Low,Yes
S0722,Canada,61.1839,-107.408,3.319,4.796,0.859,25.22,0.606,44.16,2.21,0.61,Low,Yes
S0723,Canada,57.7173,-104.8089,4.907,1.674,1.878,7.347,0.601,40.64,2.03,0.63,Low,Yes
S0724,Canada,57.3175,-103.5005,4.12,3.515,0.813,20.94,0.575,40.57,2.03,0.57,Low,Yes
S0725,Canada,54.1096,-104.2779,1.3,1.453,1.552,31.289,0.107,30.51,1.53,0.63,Low,Yes
S0726,Canada,50.375,-102.46,4.209,6.475,1.132,33.473,0.241,47.12,2.36,0.67,Low,Yes
S0727,Canada,55.9402,-106.7436,15.495,2.764,0.842,17.215,0.421,57.44,2.87,1.55,Low,Yes
S0728,Canada,52.3138,-105.9096,5.026,1.662,0.428,12.932,0.41,29.6,1.48,0.5,Low,Yes
S0729,Canada,62.6256,-102.0818,3.41,5.663,1.82,29.86,0.213,46.48,2.32,0.61,Low,Yes
S0730,Canada,52.9336,-109.1701,2.778,15.722,0.608,12.125,1.776,81.42,4.07,1.78,Moderate,Borderline
S0731,Canada,53.0994,-102.4553,2.912,4.757,0.64,12.688,0.623,37.14,1.86,0.62,Low,Yes
S0732,Canada,59.8666,-109.3318,1.118,3.922,2.018,32.278,0.316,42.76,2.14,0.67,Low,Yes
S0733,Canada,58.1146,-104.9543,2.242,5.891,1.884,8.179,0.275,37.6,1.88,0.63,Low,Yes
S0734,Canada,56.0675,-112.8327,1.26,2.075,1.136,17.831,0.229,25.96,1.3,0.38,Low,Yes
S0735,Canada,57.1942,-101.0418,6.574,3.782,1.396,9.809,1.559,65.12,3.26,1.56,Moderate,Borderline
S0736,Canada,52.4683,-104.5944,3.817,4.177,0.88,33.173,0.145,38.02,1.9,0.66,Low,Yes
S0737,Canada,59.0478,-107.2101,3.51,4.805,0.361,10.602,0.309,29.46,1.47,0.48,Low,Yes
S0738,Canada,53.7918,-106.9328,13.762,6.727,2.003,24.125,0.596,75.9,3.8,1.38,Moderate,Borderline
S0739,Canada,61.7865,-105.8604,4.521,1.434,1.261,15.208,0.635,39.1,1.95,0.64,Low,Yes
S0740,Canada,54.9215,-102.4207,10.411,3.281,1.592,6.526,0.265,45.91,2.3,1.04,Low,Yes
S0741,Canada,54.9248,-109.675,3.134,4.061,1.63,12.888,0.399,38.39,1.92,0.54,Low,Yes
S0742,Canada,54.3142,-110.2867,1.115,15.23,1.693,19.805,0.542,62.74,3.14,1.52,Moderate,Borderline
S0743,Canada,57.1127,-106.6999,1.626,6.161,1.99,10.714,0.143,35.99,1.8,0.66,Low,Yes
S0744,Canada,53.9782,-101.6985,2.982,13.084,0.585,8.172,0.272,44.74,2.24,1.31,Low,Yes
S0745,Canada,54.8738,-106.1465,3.902,2.93,0.977,28.472,0.454,40.65,2.03,0.57,Low,Yes
S0746,Canada,53.5932,-107.5139,2.496,4.117,2.001,24.25,0.436,44.99,2.25,0.67,Low,Yes
S0747,Canada,59.2188,-108.5602,1.285,5.237,1.12,16.639,0.339,33.95,1.7,0.52,Low,Yes
S0748,Canada,49.7949,-105.7318,12.504,5.919,1.111,13.941,0.601,61.85,3.09,1.25,Moderate,Borderline
S0749,Canada,49.8414,-109.5425,6.079,4.312,1.638,29.271,0.229,47.99,2.4,0.61,Low,Yes
S0750,Canada,54.2815,-102.6494,13.607,3.115,0.638,12.733,0.388,50.55,2.53,1.36,Low,Yes
S0751,Canada,53.8961,-108.6274,2.018,5.621,1.585,9.148,0.593,41.36,2.07,0.59,Low,Yes
S0752,Canada,55.2983,-106.5883,1.83,3.818,1.643,62.471,1.026,67.76,3.39,1.25,Moderate,Borderline
S0753,Canada,57.3347,-103.4478,2.592,5.755,0.365,15.355,0.395,33.17,1.66,0.58,Low,Yes
S0754,Canada,53.8197,-108.6329,2.456,2.184,1.965,34.126,0.631,48.65,2.43,0.68,Low,Yes
S0755,Canada,59.8974,-103.9974,6.916,5.596,0.616,28.815,0.423,49.12,2.46,0.69,Low,Yes
S0756,Canada,60.9116,-110.2941,3.191,5.174,1.276,7.676,1.202,52.35,2.62,1.2,Low,Yes
S0757,Canada,54.966,-105.9629,2.587,4.439,1.462,32.911,0.22,41.36,2.07,0.66,Low,Yes
S0758,Canada,57.9251,-100.348,5.738,4.751,1.26,29.848,0.566,52.64,2.63,0.6,Low,Yes
S0759,Canada,58.3909,-101.1003,3.762,3.118,1.652,10.952,0.575,40.65,2.03,0.57,Low,Yes
S0760,Canada,60.6171,-105.3764,4.968,6.372,2.092,5.448,0.247,43.75,2.19,0.7,Low,Yes
S0761,Canada,57.0276,-105.1098,6.95,5.261,1.032,16.03,0.402,45.75,2.29,0.7,Low,Yes
S0762,Canada,59.2191,-105.3442,14.484,2.992,1.828,32.998,1.342,87.18,4.36,1.45,Moderate,Borderline
S0763,Canada,54.3523,-108.5062,4.101,2.259,3.893,26.62,0.354,56.4,2.82,1.3,Low,Yes
S0764,Canada,57.7312,-106.5341,1.329,6.348,0.631,26.511,0.587,41.91,2.1,0.63,Low,Yes
S0765,Canada,54.5174,-105.1485,5.307,10.185,0.971,21.752,0.335,52.86,2.64,1.02,Low,Yes
S0766,Canada,53.0003,-99.4192,6.631,13.471,0.8,23.148,0.419,63.18,3.16,1.35,Moderate,Borderline
S0767,Canada,54.048,-106.9799,3.837,6.247,3.029,24.84,0.252,55.34,2.77,1.01,Low,Yes
S0768,Canada,56.262,-111.2735,3.641,5.036,0.752,15.484,0.554,39.64,1.98,0.55,Low,Yes
S0769,Canada,57.4356,-110.3347,4.424,4.3,1.318,8.289,1.781,65.17,3.26,1.78,Moderate,Borderline
S0770,Canada,52.0398,-106.7163,3.912,6.704,0.937,14.36,0.622,45.66,2.28,0.67,Low,Yes
S0771,Canada,52.4174,-109.0379,1.201,3.702,1.148,8.738,0.639,33.73,1.69,0.64,Low,Yes
S0772,Canada,51.9796,-107.457,3.242,2.057,1.158,5.963,0.558,31.86,1.59,0.56,Low,Yes
S0773,Canada,57.0052,-104.3056,6.567,10.056,0.732,12.806,0.117,45.59,2.28,1.01,Low,Yes
S0774,Canada,56.9022,-103.6972,17.879,6.267,1.487,31.809,0.438,79.69,3.98,1.79,Moderate,Borderline
S0775,Canada,56.9412,-110.4538,5.585,16.057,2.073,18.806,0.346,71.55,3.58,1.61,Moderate,Borderline
S0776,Canada,47.902,-109.536,5.651,2.9,0.368,11.899,0.492,34.15,1.71,0.57,Low,Yes
S0777,Canada,56.0704,-101.0366,6.364,5.844,0.847,13.224,1.783,71.01,3.55,1.78,Moderate,Borderline
S0778,Canada,60.0561,-99.7018,4.935,1.192,1.589,27.719,0.233,38.59,1.93,0.55,Low,Yes
S0779,Canada,59.0907,-107.1401,5.967,4.535,0.734,34.163,0.689,53.34,2.67,0.69,Low,Yes
S0780,Canada,53.0364,-103.8309,2.567,2.918,4.691,19.763,0.203,54.21,2.71,1.56,Low,Yes
S0781,Canada,53.6044,-105.3353,11.995,6.344,0.431,19.791,0.46,56.67,2.83,1.2,Low,Yes
S0782,Canada,53.8777,-99.3704,10.954,4.895,4.126,32.739,0.475,81.8,4.09,1.38,Moderate,Borderline
S0783,Canada,56.3052,-101.506,6.148,6.332,4.909,17.512,0.239,69.47,3.47,1.64,Moderate,Borderline
S0784,Canada,56.5939,-102.2954,4.697,3.35,0.526,15.337,0.375,33.24,1.66,0.47,Low,Yes
S0785,Canada,56.1253,-109.432,2.455,1.389,1.069,26.828,0.382,33.19,1.66,0.54,Low,Yes
S0786,Canada,60.4534,-109.9443,3.969,6.248,0.545,85.546,0.236,63.01,3.15,1.71,Moderate,Borderline
S0787,Canada,58.8595,-103.6328,2.209,4.128,0.85,9.789,0.573,33.72,1.69,0.57,Low,Yes
S0788,Canada,56.2371,-106.8645,6.856,1.712,1.931,23.675,0.425,47.98,2.4,0.69,Low,Yes
S0789,Canada,59.4932,-103.223,6.79,1.111,1.572,10.812,0.408,38.77,1.94,0.68,Low,Yes
S0790,Canada,55.7519,-102.5914,5.797,5.639,1.797,21.383,0.385,51.11,2.56,0.6,Low,Yes
S0791,Canada,57.3211,-107.5629,15.592,13.223,4.411,20.042,0.15,98.05,4.9,1.56,Moderate,Borderline
S0792,Canada,59.4482,-102.3268,6.654,1.252,1.016,18.54,0.359,37.18,1.86,0.67,Low,Yes
S0793,Canada,62.9698,-107.1132,5.981,3.583,0.975,29.868,0.165,40.88,2.04,0.6,Low,Yes
S0794,Canada,56.7193,-108.4241,1.862,1.043,1.519,34.348,1.677,63.22,3.16,1.68,Moderate,Borderline
S0795,Canada,58.637,-108.8395,6.448,6.45,2.058,78.371,0.419,79.24,3.96,1.57,Moderate,Borderline
S0796,Canada,58.1845,-108.938,2.145,2.519,0.352,12.269,0.24,21.38,1.07,0.25,Low,Yes
S0797,Canada,57.1653,-103.9533,4.48,5.164,1.715,17.511,0.615,50.03,2.5,0.61,Low,Yes
S0798,Canada,52.6736,-105.3899,5.229,3.608,1.969,19.628,0.514,48.93,2.45,0.66,Low,Yes
S0799,Canada,55.2315,-102.1739,1.434,3.262,1.441,31.633,1.304,57.73,2.89,1.3,Low,Yes
S0800,Canada,54.5877,-102.6364,4.609,3.19,1.206,34.925,0.207,41.75,2.09,0.7,Low,Yes
S0801,Canada,57.6722,-104.1034,5.731,2.525,1.908,8.914,0.621,45.22,2.26,0.64,Low,Yes
S0802,Canada,56.3231,-103.0053,4.878,1.307,1.21,20.079,0.203,32.53,1.63,0.49,Low,Yes
S0803,Canada,54.8047,-107.3399,6.838,2.616,1.398,28.812,0.242,44.59,2.23,0.68,Low,Yes
S0804,Canada,54.4801,-105.2804,3.51,2.124,1.382,28.428,0.294,37.73,1.89,0.57,Low,Yes
S0805,Canada,54.7021,-99.4428,6.447,2.723,1.121,25.812,0.612,48.38,2.42,0.64,Low,Yes
S0806,Canada,58.7422,-108.9611,3.366,3.856,1.612,30.049,0.589,48.99,2.45,0.6,Low,Yes
S0807,Canada,53.8847,-110.0488,1.121,4.03,2.053,9.851,0.354,35.01,1.75,0.68,Low,Yes
S0808,Canada,56.3448,-101.718,4.433,5.836,1.585,69.49,0.313,65.16,3.26,1.39,Moderate,Borderline
S0809,Canada,59.1072,-103.7554,16.79,1.06,1.43,59.419,0.183,72.66,3.63,1.68,Moderate,Borderline
S0810,Canada,56.3252,-109.7876,4.541,10.211,1.63,28.889,0.372,59.37,2.97,1.02,Low,Yes
S0811,Canada,52.9878,-103.1668,1.73,2.962,1.465,23.608,0.544,39.47,1.97,0.54,Low,Yes
S0812,Canada,61.9222,-104.8682,6.241,3.477,5.141,5.923,0.555,67.18,3.36,1.71,Moderate,Borderline
S0813,Canada,56.3854,-107.7739,3.567,1.542,1.162,23.375,0.56,38.51,1.93,0.56,Low,Yes
S0814,Canada,57.6535,-106.3304,6.193,1.956,1.023,22.502,0.406,40.24,2.01,0.62,Low,Yes
S0815,Canada,54.7134,-103.5768,6.828,6.75,4.692,30.509,0.657,83.78,4.19,1.56,Moderate,Borderline
S0816,Canada,59.0941,-104.8354,2.781,6.436,2.058,8.821,0.346,42.6,2.13,0.69,Low,Yes
S0817,Canada,63.7507,-109.9907,4.179,1.45,1.745,28.303,0.345,41.11,2.06,0.58,Low,Yes
S0818,Canada,57.2863,-103.6886,4.286,1.546,0.649,24.839,0.342,32.77,1.64,0.5,Low,Yes
S0819,Canada,58.6326,-104.945,5.49,4.219,0.552,16.686,0.657,42.91,2.15,0.66,Low,Yes
S0820,Canada,55.4471,-106.6175,3.146,4.689,2.032,30.145,0.225,45.77,2.29,0.68,Low,Yes
S0821,Canada,60.8904,-104.889,2.319,3.184,1.099,27.524,0.443,38.2,1.91,0.55,Low,Yes
S0822,Canada,58.0291,-106.1131,17.132,6.086,1.523,29.808,0.441,77.33,3.87,1.71,Moderate,Borderline
S0823,Canada,55.6684,-103.8772,4.233,4.389,0.386,18.332,1.196,51.07,2.55,1.2,Low,Yes
S0824,Canada,54.2654,-105.1146,6.453,2.228,0.325,31.251,0.213,36.29,1.81,0.65,Low,Yes
S0825,Canada,57.8404,-106.0975,2.484,3.637,4.917,12.299,0.141,52.76,2.64,1.64,Low,Yes
S0826,Canada,56.6433,-106.516,5.857,3.867,0.967,18.292,0.689,46.99,2.35,0.69,Low,Yes
S0827,Canada,61.3094,-102.2546,4.228,1.697,0.817,27.862,0.123,30.9,1.55,0.56,Low,Yes
S0828,Canada,58.3359,-109.3668,2.387,6.327,1.01,18.672,0.48,41.23,2.06,0.63,Low,Yes
S0829,Canada,57.3085,-104.2029,4.663,2.26,1.176,10.855,0.566,37.35,1.87,0.57,Low,Yes
S0830,Canada,48.1983,-101.7102,4.478,6.206,0.328,23.186,0.491,42.65,2.13,0.62,Low,Yes
S0831,Canada,52.7408,-104.4951,5.503,13.263,1.569,28.859,0.453,68.6,3.43,1.33,Moderate,Borderline
S0832,Canada,63.5163,-107.3549,3.835,3.602,3.722,27.468,0.221,55.09,2.75,1.24,Low,Yes
S0833,Canada,58.5565,-105.9853,5.241,1.51,0.316,15.333,0.303,27.8,1.39,0.52,Low,Yes
S0834,Canada,55.5287,-106.5329,3.045,3.092,0.475,87.694,0.692,64.36,3.22,1.75,Moderate,Borderline
S0835,Canada,53.3541,-110.3281,5.658,4.866,0.512,26.169,0.634,47.61,2.38,0.63,Low,Yes
S0836,Canada,55.0376,-110.0861,17.637,1.771,5.219,30.555,0.237,90.57,4.53,1.76,Moderate,Borderline
S0837,Canada,52.013,-108.227,4.04,4.45,1.472,30.638,0.621,51.47,2.57,0.62,Low,Yes
S0838,Canada,58.784,-105.3745,14.008,3.25,1.728,21.704,0.181,58.34,2.92,1.4,Low,Yes
S0839,Canada,57.6442,-105.6119,3.037,4.039,4.808,20.753,0.14,57.31,2.87,1.6,Low,Yes
S0840,Canada,51.1425,-104.1108,6.461,3.698,0.48,16.236,0.332,36.65,1.83,0.65,Low,Yes
S0841,Canada,61.8076,-105.5924,1.333,16.844,0.465,15.824,1.173,69.24,3.46,1.68,Moderate,Borderline
S0842,Canada,54.8475,-108.2864,4.086,5.739,1.396,19.214,0.605,48.74,2.44,0.6,Low,Yes
S0843,Canada,56.6562,-106.5004,10.851,3.971,0.795,22.847,0.115,46.38,2.32,1.09,Low,Yes
S0844,Canada,57.6382,-107.3971,3.522,6.238,0.969,28.254,0.215,41.58,2.08,0.62,Low,Yes
S0845,Canada,56.1476,-106.5789,4.97,2.92,5.23,11.676,0.203,59.38,2.97,1.74,Low,Yes
S0846,Canada,60.8511,-108.3113,4.342,2.89,1.174,31.744,0.19,38.79,1.94,0.63,Low,Yes
S0847,Canada,52.7339,-104.3156,3.344,2.48,1.632,33.126,0.375,43.28,2.16,0.66,Low,Yes
S0848,Canada,58.3893,-101.008,6.272,2.799,5.088,25.352,0.469,71.58,3.58,1.7,Moderate,Borderline
S0849,Canada,59.2739,-106.1744,3.157,5.192,1.315,9.137,1.759,64.3,3.21,1.76,Moderate,Borderline
S0850,Canada,58.6147,-105.0185,5.056,4.076,2.028,31.249,0.502,54.32,2.72,0.68,Low,Yes
S0851,Canada,57.5911,-106.3587,17.255,3.907,1.32,19.075,0.109,60.93,3.05,1.73,Moderate,Borderline
S0852,Canada,58.5449,-104.0552,6.671,2.528,1.696,25.869,0.527,50.59,2.53,0.67,Low,Yes
S0853,Canada,51.7789,-111.1182,11.067,4.928,2.079,22.981,0.2,59.04,2.95,1.11,Low,Yes
S0854,Canada,55.0715,-105.424,6.167,1.2,0.388,20.279,0.261,30.65,1.53,0.62,Low,Yes
S0855,Canada,54.6463,-106.3924,2.801,3.449,0.536,34.884,0.329,36.61,1.83,0.7,Low,Yes
S0856,Canada,53.746,-101.4397,6.43,3.702,2.015,6.2,0.382,43.82,2.19,0.67,Low,Yes
S0857,Canada,58.6432,-104.3782,5.388,2.635,1.68,27.024,0.574,49.54,2.48,0.57,Low,Yes
S0858,Canada,58.9142,-109.8858,4.85,1.182,1.325,32.847,0.552,45.08,2.25,0.66,Low,Yes
S0859,Canada,53.6359,-104.0292,3.226,1.109,1.804,18.438,0.565,39.37,1.97,0.6,Low,Yes
S0860,Canada,59.5506,-109.494,4.379,2.86,1.539,28.01,0.23,40.54,2.03,0.56,Low,Yes
S0861,Canada,49.6559,-107.2717,6.174,1.134,0.962,29.961,0.666,46.33,2.32,0.67,Low,Yes
S0862,Canada,59.7686,-102.4369,2.513,6.009,0.892,6.85,0.391,33.55,1.68,0.6,Low,Yes
S0863,Canada,57.4617,-103.6981,6.662,6.642,1.38,78.952,0.643,80.25,4.01,1.58,Moderate,Borderline
S0864,Canada,61.2909,-103.4107,6.941,5.003,1.452,9.604,0.473,46.87,2.34,0.69,Low,Yes
S0865,Canada,58.1986,-107.54,2.963,6.647,1.001,27.66,0.649,49.94,2.5,0.66,Low,Yes
S0866,Canada,52.9647,-106.9842,5.262,1.264,0.748,25.038,1.321,54.47,2.72,1.32,Low,Yes
S0867,Canada,56.6236,-105.6022,3.481,5.216,0.781,28.879,0.166,37.47,1.87,0.58,Low,Yes
S0868,Canada,56.1337,-110.0983,4.175,3.775,0.716,10.13,0.212,28.97,1.45,0.42,Low,Yes
S0869,Canada,49.5307,-107.1138,3.167,4.323,1.915,14.855,0.115,35.99,1.8,0.64,Low,Yes
S0870,Canada,55.0932,-104.4074,2.638,4.674,1.608,25.226,0.66,48.63,2.43,0.66,Low,Yes
S0871,Canada,53.0701,-105.5192,1.833,2.69,1.77,12.875,1.704,60.08,3.0,1.7,Moderate,Borderline
S0872,Canada,53.7867,-111.8512,5.243,2.908,3.027,18.742,0.499,53.96,2.7,1.01,Low,Yes
S0873,Canada,51.9461,-106.9004,4.291,17.634,0.556,7.038,0.405,58.47,2.92,1.76,Low,Yes
S0874,Canada,57.4821,-101.9412,3.73,6.683,1.342,6.401,0.288,38.09,1.9,0.67,Low,Yes
S0875,Canada,53.748,-104.4569,4.395,2.069,1.026,10.097,0.623,36.27,1.81,0.62,Low,Yes
S0876,Canada,55.1809,-106.9013,6.176,1.026,1.376,9.002,0.653,40.24,2.01,0.65,Low,Yes
S0877,Canada,60.2839,-104.5712,3.573,3.231,1.612,34.441,0.653,51.19,2.56,0.69,Low,Yes
S0878,Canada,58.2092,-107.9124,3.598,3.701,1.141,10.981,0.553,37.66,1.88,0.55,Low,Yes
S0879,Canada,52.6325,-103.0819,16.54,6.939,0.32,24.576,0.573,70.38,3.52,1.65,Moderate,Borderline
S0880,Canada,58.2962,-102.7798,2.937,1.884,1.886,30.187,0.215,38.59,1.93,0.63,Low,Yes
S0883,Japan,35.9119,139.1859,5.905,3.975,1.902,13.888,0.234,42.68,2.13,0.63,Low,Yes
S0890,Japan,34.6762,138.8719,6.03,5.14,0.451,8.783,0.611,41.08,2.05,0.61,Low,Yes
S0892,Japan,38.4998,139.7945,5.075,4.389,1.779,30.458,0.252,48.01,2.4,0.61,Low,Yes
S0897,Japan,35.4865,137.8017,6.507,4.311,3.277,7.141,0.391,54.16,2.71,1.09,Low,Yes
S0900,Japan,36.7418,140.6597,6.702,3.231,1.845,23.889,0.569,53.1,2.66,0.67,Low,Yes
S0902,Japan,34.5254,136.1189,4.015,6.686,0.406,14.865,0.268,35.41,1.77,0.67,Low,Yes
S0907,Japan,34.6118,137.0789,4.2,5.421,1.019,29.306,0.646,50.68,2.53,0.65,Low,Yes
S0916,Japan,36.1369,137.4905,4.778,3.388,1.424,33.103,0.356,46.19,2.31,0.66,Low,Yes
S0920,Japan,37.0135,139.0738,2.386,6.877,3.05,18.976,0.514,56.73,2.84,1.02,Low,Yes
S0924,Japan,35.1545,136.0894,3.323,1.949,1.106,19.036,1.426,54.05,2.7,1.43,Low,Yes
S0925,Japan,35.2789,135.3837,4.536,2.051,2.004,9.668,0.123,32.86,1.64,0.67,Low,Yes
S0932,Japan,35.3841,138.7441,16.114,4.485,0.393,7.23,0.476,56.23,2.81,1.61,Low,Yes
S0936,Japan,35.4489,139.011,6.934,3.781,0.791,8.407,0.309,36.25,1.81,0.69,Low,Yes
S0939,Japan,33.9224,134.4239,4.684,5.519,0.952,89.519,0.499,72.54,3.63,1.79,Moderate,Borderline
S0940,Japan,36.3094,136.6457,3.909,2.668,1.29,7.18,0.522,35.07,1.75,0.52,Low,Yes
S0945,Japan,39.3703,140.031,5.657,5.785,0.866,21.005,0.689,50.84,2.54,0.69,Low,Yes
S0955,Japan,36.5947,138.9758,1.384,4.164,0.863,20.023,0.374,32.34,1.62,0.42,Low,Yes
S0958,Japan,35.1949,139.0699,6.832,1.607,1.332,16.0,0.361,39.38,1.97,0.68,Low,Yes
S0960,Japan,35.9328,139.8372,2.99,2.467,1.406,11.959,0.104,27.15,1.36,0.47,Low,Yes
S0964,Japan,37.7752,139.7081,2.243,17.937,1.48,27.965,1.149,84.39,4.22,1.79,Moderate,Borderline
S0967,Japan,34.4604,136.4461,12.507,1.897,1.491,12.657,0.147,46.75,2.34,1.25,Low,Yes
S0970,Japan,35.8232,138.1411,1.731,14.333,0.998,29.058,0.554,61.48,3.07,1.43,Moderate,Borderline
S0971,Japan,33.8834,135.4619,2.251,6.688,1.887,16.63,1.556,68.23,3.41,1.56,Moderate,Borderline
S0975,Japan,38.5358,139.8113,3.471,3.424,1.675,15.362,0.199,35.08,1.75,0.56,Low,Yes
S0991,Japan,35.4991,134.5093,2.671,6.304,1.23,17.323,0.417,41.42,2.07,0.63,Low,Yes
S1002,Japan,35.315,139.8476,6.449,1.037,0.344,54.411,0.33,45.63,2.28,1.09,Low,Yes
S1004,Japan,41.9063,140.8192,5.437,6.754,1.825,17.428,0.449,52.5,2.62,0.68,Low,Yes
S1005,Japan,36.3644,138.9421,10.32,2.205,0.759,15.802,1.539,67.21,3.36,1.54,Moderate,Borderline
S1007,Japan,36.0441,139.1585,6.566,6.993,0.376,82.834,0.265,68.06,3.4,1.66,Moderate,Borderline
S1014,Japan,33.6106,133.5808,1.55,5.36,1.399,27.859,1.281,59.91,3.0,1.28,Low,Yes
S1015,Japan,35.4846,137.5601,6.489,4.226,1.278,65.827,0.213,60.54,3.03,1.32,Moderate,Borderline
S1018,Japan,36.0088,138.5337,3.071,1.029,1.3,20.137,0.477,34.46,1.72,0.48,Low,Yes
S1019,Japan,36.0403,137.9602,5.051,2.139,0.358,14.404,0.604,34.61,1.73,0.6,Low,Yes
S1020,Japan,36.9466,137.8564,5.703,3.633,1.041,8.283,0.128,31.49,1.57,0.57,Low,Yes
S1029,Japan,37.8958,139.2973,2.86,3.139,0.38,25.382,0.362,31.92,1.6,0.51,Low,Yes
S1030,Japan,35.0744,133.9598,4.01,2.565,4.739,6.067,0.624,59.65,2.98,1.58,Low,Yes
S1031,Japan,33.932,133.7686,3.137,2.91,0.596,29.372,0.612,40.06,2.0,0.61,Low,Yes
S1032,Japan,36.1127,137.5439,3.747,6.396,1.442,7.514,0.54,43.7,2.19,0.64,Low,Yes
S1049,Japan,34.6948,133.566,6.522,3.741,1.299,6.566,0.212,36.05,1.8,0.65,Low,Yes
S1052,Japan,39.7642,141.7546,6.088,3.698,1.539,19.27,0.434,46.22,2.31,0.61,Low,Yes
S1053,Japan,40.4856,140.3095,4.857,5.091,4.344,22.72,0.317,64.28,3.21,1.45,Moderate,Borderline
