SampleID,Location,Latitude,Longitude,pH,As,Pb,Cd,Cr,Hg,Fe,Mn,Zn,Cu
S238,Sangli,16.8589,74.5486,6.85,0.011,0.022,0.004,0.031,0.003,0.21,0.11,0.19,0.05
S239,Satara,17.659,74.0114,7.29,0.017,0.022,0.006,0.025,0.003,0.33,0.09,0.11,0.04
S240,Nashik,20.0135,73.8267,6.84,0.019,0.011,0.004,0.036,0.001,0.23,0.08,0.15,0.06
S241,Solapur,17.5928,75.8428,6.85,0.019,0.007,0.004,0.031,0.003,0.27,0.11,0.15,0.02
S242,Nashik,20.0205,73.7963,7.13,0.04,0.011,0.008,0.033,0.002,0.3,0.09,0.12,0.07
S243,Aurangabad,19.8307,75.3658,6.9,0.009,0.023,0.008,0.031,0.002,0.24,0.12,0.17,0.1
S244,Satara,17.6752,74.0384,7.02,0.024,0.021,0.006,0.034,0.002,0.31,0.11,0.14,0.06
S245,Nagpur,21.1931,79.1178,7.22,0.013,0.02,0.007,0.045,0.003,0.25,0.09,0.07,0.05
S246,Mumbai,19.1059,72.8637,7.16,0.015,0.028,0.003,0.037,0.0,0.29,0.05,0.19,0.08
S247,Satara,17.6945,74.0639,6.76,0.026,0.033,0.005,0.047,0.001,0.23,0.08,0.12,0.04
S248,Sangli,16.8891,74.5737,7.09,0.013,0.013,0.006,0.017,0.002,0.19,0.16,0.18,0.06
S249,Mumbai,19.1139,72.8523,7.14,0.017,0.028,0.008,0.043,0.002,0.17,0.07,0.14,0.06
S250,Pune,18.4865,73.9291,7.38,0.02,0.027,0.005,0.026,0.002,0.32,0.06,0.15,0.06
S251,Sangli,16.7952,74.5557,6.9,0.027,0.03,0.002,0.041,0.001,0.39,0.09,0.14,0.09
S252,Pune,18.4818,73.8148,6.85,0.022,0.015,0.001,0.031,0.002,0.4,0.09,0.12,0.08
S253,Mumbai,19.0199,72.866,7.05,0.019,0.022,0.005,0.011,0.001,0.34,0.07,0.14,0.07
S254,Nagpur,21.1355,79.0933,6.76,0.015,0.03,0.005,0.03,0.002,0.36,0.04,0.19,0.05
S255,Nashik,20.0103,73.8257,6.66,0.012,0.024,0.003,0.053,0.001,0.26,0.11,0.09,0.05
S256,Solapur,17.6694,75.8964,6.98,0.013,0.015,0.006,0.054,0.002,0.32,0.12,0.09,0.09
S257,Satara,17.6866,74.0673,6.82,0.027,0.031,0.006,0.038,0.002,0.4,0.1,0.06,0.04
S258,Satara,17.6749,74.0276,6.99,0.023,0.012,0.005,0.018,0.003,0.29,0.11,0.11,0.09
S259,Nagpur,21.1771,79.1057,6.97,0.019,0.021,0.007,0.052,0.003,0.24,0.11,0.09,0.07
S260,Solapur,17.6734,75.8503,6.71,0.014,0.024,0.003,0.04,0.002,0.28,0.08,0.18,0.09
S261,Pune,18.5059,73.8383,7.12,0.014,0.025,0.006,0.017,0.003,0.31,0.09,0.14,0.06
S262,Nashik,19.9456,73.8346,7.01,0.019,0.033,0.003,0.041,0.002,0.37,0.04,0.14,0.05
S263,Solapur,17.6729,75.9205,6.82,0.012,0.025,0.003,0.044,0.002,0.07,0.09,0.1,0.03
S264,Pune,18.4833,73.86,7.33,0.018,0.022,0.006,0.031,0.001,0.21,0.05,0.12,0.06
S265,Solapur,17.657,75.8939,6.76,0.02,0.017,0.007,0.026,0.001,0.18,0.08,0.18,0.07
S266,Aurangabad,19.9056,75.359,6.72,0.014,0.021,0.008,0.024,0.003,0.37,0.15,0.12,0.07
S267,Satara,17.7489,73.9998,6.62,0.005,0.031,0.001,0.032,0.002,0.31,0.11,0.15,0.09
S268,Aurangabad,19.8476,75.323,6.81,0.021,0.032,0.006,0.048,0.001,0.43,0.15,0.17,0.1
S269,Solapur,17.6102,75.8907,6.82,0.02,0.019,0.007,0.05,0.003,0.32,0.07,0.11,0.08
S270,Sangli,16.8758,74.5803,6.9,0.004,0.019,0.009,0.023,0.002,0.38,0.06,0.15,0.08
S271,Satara,17.6809,74.1044,6.58,0.022,0.025,0.007,0.04,0.001,0.32,0.04,0.16,0.07
S272,Nashik,20.0167,73.8215,7.09,0.017,0.02,0.004,0.048,0.003,0.28,0.1,0.1,0.08
S273,Nagpur,21.1658,79.1464,6.78,0.014,0.028,0.006,0.034,0.001,0.37,0.12,0.1,0.09
S274,Aurangabad,19.9113,75.3473,7.02,0.019,0.02,0.005,0.014,0.003,0.18,0.15,0.13,0.06
S275,Nagpur,21.127,79.0796,7.35,0.002,0.035,0.006,0.024,0.001,0.43,0.07,0.09,0.08
S276,Pune,18.5306,73.8286,7.05,0.01,0.034,0.007,0.041,0.002,0.44,0.1,0.09,0.07
S277,Ahmednagar,19.1578,74.7192,6.91,0.018,0.026,0.003,0.047,0.004,0.32,0.07,0.08,0.07
S278,Sangli,16.8855,74.5958,7.0,0.012,0.018,0.007,0.045,0.001,0.43,0.12,0.2,0.03
S279,Pune,18.4794,73.8522,7.13,0.027,0.031,0.005,0.026,0.003,0.22,0.15,0.13,0.09
S280,Kolhapur,16.7254,74.2392,6.87,0.014,0.029,0.005,0.03,0.002,0.31,0.04,0.16,0.04
S281,Pune,18.4858,73.8061,6.55,0.008,0.021,0.009,0.031,0.002,0.33,0.1,0.14,0.04
S282,Pune,18.5639,73.9109,6.58,0.01,0.024,0.003,0.041,0.001,0.47,0.14,0.15,0.08
S283,Ahmednagar,19.1284,74.7327,6.8,0.016,0.032,0.005,0.02,0.001,0.29,0.1,0.22,0.03
S284,Satara,17.6957,74.063,7.57,0.014,0.029,0.006,0.038,0.002,0.33,0.02,0.17,0.06
S285,Sangli,16.8457,74.6429,6.83,0.014,0.04,0.003,0.03,0.002,0.37,0.11,0.09,0.05
S286,Sangli,16.8342,74.5792,7.11,0.019,0.014,0.007,0.039,0.003,0.34,0.13,0.16,0.09
S287,Nashik,20.0132,73.7869,7.57,0.021,0.03,0.002,0.023,0.002,0.31,0.08,0.15,0.09
S288,Pune,18.5413,73.8225,6.97,0.011,0.023,0.004,0.031,0.001,0.29,0.08,0.03,0.1
S289,Sangli,16.8851,74.5702,7.0,0.009,0.038,0.009,0.038,0.003,0.31,0.06,0.12,0.06
S290,Mumbai,19.0624,72.8711,6.98,0.016,0.026,0.003,0.029,0.001,0.38,0.04,0.19,0.09
S291,Nashik,19.9884,73.7117,6.91,0.016,0.019,0.004,0.051,0.003,0.23,0.05,0.13,0.06
S292,Mumbai,19.0909,72.8616,7.13,0.028,0.032,0.005,0.034,0.002,0.39,0.08,0.14,0.06
S293,Ahmednagar,19.0801,74.7084,7.08,0.016,0.03,0.004,0.048,0.001,0.44,0.05,0.16,0.07
S294,Mumbai,19.0521,72.8904,7.32,0.003,0.03,0.001,0.026,0.003,0.25,0.06,0.13,0.1
S295,Nagpur,21.0908,79.0567,7.37,0.027,0.025,0.003,0.057,0.003,0.35,0.08,0.14,0.06
S296,Solapur,17.6698,75.9499,7.22,0.01,0.036,0.006,0.043,0.003,0.21,0.1,0.12,0.03
S297,Mumbai,19.0864,72.953,6.54,0.016,0.03,0.005,0.035,0.001,0.32,0.08,0.05,0.08
S298,Ahmednagar,19.124,74.7511,7.06,0.022,0.028,0.007,0.033,0.003,0.33,0.11,0.09,0.07
S299,Nagpur,21.1208,79.0691,6.8,0.01,0.041,0.008,0.055,0.001,0.31,0.06,0.11,0.04
S300,Ahmednagar,19.1324,74.7377,7.27,0.02,0.042,0.002,0.049,0.003,0.22,0.13,0.15,0.06
S301,Ahmednagar,19.0705,74.728,7.51,0.016,0.031,0.003,0.028,0.003,0.19,0.09,0.14,0.06
S302,Pune,18.515,73.8686,7.17,0.02,0.019,0.004,0.048,0.003,0.19,0.11,0.06,0.06
S303,Ahmednagar,19.1521,74.7212,6.79,0.021,0.015,0.004,0.042,0.001,0.28,0.12,0.16,0.07
S304,Mumbai,19.0658,72.8888,6.97,0.019,0.023,0.005,0.026,0.002,0.24,0.07,0.15,0.06
S305,Solapur,17.6834,75.8935,7.1,0.019,0.029,0.003,0.037,0.002,0.3,0.04,0.15,0.1
S306,Ahmednagar,19.0844,74.7278,7.09,0.018,0.034,0.002,0.043,0.002,0.29,0.11,0.18,0.08
S307,Ahmednagar,19.0609,74.7742,6.98,0.016,0.027,0.005,0.048,0.002,0.21,0.09,0.15,0.08
S308,Sangli,16.8705,74.556,7.62,0.018,0.035,0.005,0.041,0.003,0.4,0.13,0.17,0.05
S309,Kolhapur,16.6878,74.2533,7.23,0.015,0.033,0.008,0.027,0.001,0.29,0.11,0.12,0.09
S310,Aurangabad,19.8889,75.3445,6.64,0.008,0.028,0.001,0.046,0.002,0.56,0.17,0.13,0.06
S311,Nagpur,21.1757,79.1393,6.59,0.005,0.022,0.006,0.041,0.003,0.2,0.03,0.17,0.04
S312,Kolhapur,16.6444,74.2477,7.2,0.015,0.023,0.005,0.032,0.001,0.24,0.12,0.15,0.06
S313,Nagpur,21.1159,79.0828,6.5,0.017,0.036,0.002,0.03,0.002,0.4,0.09,0.11,0.02
S314,Aurangabad,19.8793,75.4046,7.07,0.016,0.028,0.005,0.028,0.003,0.32,0.1,0.1,0.09
S315,Solapur,17.6798,75.8898,7.25,0.013,0.021,0.003,0.018,0.002,0.15,0.06,0.06,0.06
S316,Nashik,19.993,73.78,6.74,0.009,0.029,0.004,0.039,0.001,0.31,0.14,0.16,0.05
S317,Aurangabad,19.8839,75.3361,7.0,0.014,0.025,0.005,0.026,0.001,0.19,0.05,0.09,0.06
S318,Satara,17.6537,74.0337,7.01,0.004,0.031,0.007,0.026,0.002,0.23,0.1,0.09,0.02
S319,Kolhapur,16.6935,74.2396,6.9,0.009,0.023,0.006,0.036,0.002,0.25,0.14,0.09,0.07
S320,Mumbai,19.1115,72.8921,6.95,0.013,0.033,0.002,0.026,0.002,0.4,0.11,0.1,0.05
S321,Pune,18.502,73.8354,7.24,0.008,0.037,0.007,0.047,0.002,0.29,0.06,0.12,0.07
S322,Satara,17.7194,73.9851,6.91,0.015,0.016,0.006,0.029,0.002,0.26,0.08,0.14,0.06
S323,Ahmednagar,19.084,74.7277,7.08,0.026,0.027,0.007,0.022,0.002,0.21,0.06,0.11,0.08
S324,Ahmednagar,19.1237,74.7569,6.62,0.015,0.028,0.005,0.018,0.001,0.29,0.12,0.05,0.06
S325,Mumbai,19.0803,72.9032,7.17,0.019,0.02,0.001,0.032,0.003,0.41,0.12,0.16,0.07
S326,Mumbai,19.0593,72.8738,7.42,0.01,0.037,0.004,0.049,0.001,0.35,0.08,0.08,0.06
S327,Sangli,16.8827,74.5562,6.63,0.015,0.025,0.006,0.045,0.002,0.45,0.11,0.13,0.03
S328,Nagpur,21.1379,79.0781,7.24,0.019,0.018,0.005,0.043,0.003,0.37,0.12,0.14,0.07
S329,Sangli,16.8899,74.5415,6.91,0.011,0.029,0.007,0.03,0.0,0.27,0.13,0.16,0.07
S330,Aurangabad,19.8678,75.3049,7.13,0.011,0.041,0.006,0.03,0.002,0.29,0.09,0.18,0.06
S331,Nashik,19.9756,73.8465,7.01,0.021,0.022,0.006,0.039,0.0,0.46,0.14,0.12,0.04
S332,Kolhapur,16.7154,74.2459,7.09,0.017,0.03,0.008,0.042,0.001,0.41,0.15,0.27,0.04
S333,Mumbai,19.0833,72.8152,7.14,0.013,0.039,0.003,0.019,0.002,0.14,0.12,0.06,0.06
S334,Nagpur,21.0835,79.0786,7.41,0.018,0.02,0.005,0.036,0.002,0.19,0.12,0.03,0.05
S335,Kolhapur,16.6904,74.2623,7.01,0.008,0.019,0.005,0.035,0.002,0.26,0.12,0.12,0.06
S336,Aurangabad,19.9413,75.3006,6.54,0.021,0.021,0.004,0.028,0.002,0.43,0.12,0.17,0.03
S337,Nashik,19.963,73.7046,6.8,0.022,0.03,0.005,0.036,0.001,0.32,0.12,0.08,0.07
S338,Satara,17.7085,74.0058,7.18,0.033,0.025,0.006,0.029,0.002,0.34,0.11,0.1,0.06
S339,Sangli,16.8963,74.595,7.24,0.015,0.031,0.006,0.026,0.002,0.22,0.08,0.15,0.07
S340,Aurangabad,19.8405,75.3749,7.14,0.012,0.015,0.005,0.032,0.002,0.27,0.04,0.12,0.05
S341,Ahmednagar,19.1142,74.7287,7.42,0.005,0.035,0.005,0.045,0.002,0.39,0.09,0.1,0.09
S342,Sangli,16.849,74.5881,7.31,0.01,0.03,0.004,0.035,0.002,0.18,0.08,0.19,0.08
S343,Pune,18.5185,73.864,6.93,0.024,0.025,0.005,0.047,0.001,0.42,0.05,0.21,0.05
S344,Sangli,16.8451,74.5248,6.89,0.01,0.022,0.005,0.046,0.002,0.32,0.07,0.1,0.1
S345,Aurangabad,19.8541,75.393,6.94,0.016,0.033,0.008,0.035,0.002,0.3,0.11,0.18,0.06
S346,Mumbai,19.0946,72.9269,7.1,0.018,0.015,0.001,0.04,0.002,0.26,0.11,0.14,0.08
S347,Nashik,20.0001,73.7674,7.25,0.015,0.03,0.004,0.03,0.002,0.3,0.11,0.13,0.02
S348,Aurangabad,19.8632,75.3671,6.93,0.015,0.033,0.004,0.021,0.002,0.26,0.07,0.13,0.07
S349,Mumbai,19.0757,72.8869,7.45,0.014,0.028,0.004,0.028,0.002,0.26,0.11,0.23,0.05
S350,Mumbai,19.0635,72.8758,7.1,0.018,0.035,0.001,0.012,0.002,0.39,0.05,0.03,0.07
S351,Sangli,16.8597,74.5488,6.75,0.01,0.027,0.004,0.041,0.0,0.23,0.07,0.13,0.05
S352,Nashik,20.0214,73.734,7.01,0.019,0.039,0.004,0.039,0.001,0.11,0.13,0.14,0.08
S353,Aurangabad,19.835,75.3589,7.47,0.019,0.028,0.005,0.02,0.003,0.25,0.12,0.08,0.04
S354,Aurangabad,19.9193,75.3329,7.36,0.016,0.013,0.007,0.03,0.003,0.3,0.05,0.15,0.1
S355,Ahmednagar,19.11,74.7479,7.27,0.017,0.027,0.003,0.038,0.003,0.23,0.14,0.14,0.04
S356,Nagpur,21.1757,79.0796,7.19,0.014,0.026,0.006,0.039,0.0,0.21,0.13,0.13,0.05
S357,Kolhapur,16.6642,74.2109,6.5,0.015,0.022,0.003,0.035,0.002,0.47,0.05,0.19,0.08
S358,Nagpur,21.1224,79.0943,6.89,0.017,0.037,0.006,0.041,0.002,0.18,0.09,0.19,0.03
S359,Aurangabad,19.8445,75.3471,6.75,0.011,0.023,0.002,0.026,0.003,0.2,0.05,0.11,0.07
S360,Sangli,16.8465,74.5676,7.01,0.006,0.029,0.006,0.032,0.003,0.21,0.13,0.15,0.05
S361,Satara,17.6799,74.0151,7.31,0.01,0.021,0.007,0.03,0.003,0.44,0.09,0.17,0.04
S362,Aurangabad,19.8988,75.3493,7.12,0.012,0.014,0.006,0.015,0.002,0.38,0.11,0.22,0.08
S363,Pune,18.5008,73.8575,6.99,0.007,0.019,0.004,0.016,0.002,0.28,0.05,0.16,0.07
S364,Mumbai,19.0828,72.868,7.15,0.02,0.028,0.003,0.039,0.003,0.25,0.16,0.12,0.06
S365,Solapur,17.6397,75.9131,6.56,0.013,0.018,0.005,0.046,0.003,0.11,0.16,0.15,0.04
S366,Aurangabad,19.8809,75.3486,6.83,0.017,0.022,0.004,0.029,0.001,0.31,0.12,0.16,0.08
S367,Pune,18.5301,73.8407,7.21,0.008,0.02,0.003,0.047,0.003,0.34,0.13,0.1,0.07
S368,Pune,18.5166,73.8821,6.97,0.014,0.03,0.007,0.029,0.002,0.22,0.03,0.15,0.07
S369,Kolhapur,16.7129,74.1848,6.91,0.003,0.036,0.003,0.049,0.003,0.23,0.07,0.15,0.04
S370,Nashik,20.0006,73.7753,6.55,0.003,0.028,0.004,0.03,0.003,0.39,0.09,0.13,0.07
S371,Aurangabad,19.8355,75.35,7.14,0.02,0.012,0.003,0.027,0.002,0.34,0.14,0.12,0.05
S372,Nashik,20.032,73.7987,7.32,0.018,0.018,0.002,0.02,0.003,0.4,0.16,0.17,0.08
S373,Satara,17.6631,73.9836,7.21,0.019,0.027,0.006,0.039,0.003,0.4,0.12,0.17,0.07
S374,Sangli,16.8386,74.6042,6.65,0.022,0.018,0.006,0.028,0.002,0.3,0.05,0.16,0.05
S375,Solapur,17.6863,75.9064,7.1,0.01,0.022,0.004,0.045,0.003,0.24,0.13,0.05,0.04
S376,Sangli,16.8236,74.5409,6.6,0.018,0.025,0.006,0.043,0.002,0.35,0.1,0.09,0.08
S377,Pune,18.5027,73.8286,6.96,0.011,0.023,0.006,0.039,0.001,0.26,0.13,0.16,0.1
S378,Mumbai,19.1114,72.912,6.65,0.021,0.026,0.004,0.038,0.003,0.34,0.07,0.17,0.05
S379,Mumbai,19.0825,72.8686,6.95,0.021,0.019,0.009,0.018,0.002,0.33,0.12,0.14,0.06
S380,Nashik,20.0098,73.7829,7.35,0.021,0.032,0.003,0.035,0.002,0.22,0.11,0.12,0.07
S381,Sangli,16.8203,74.6331,6.78,0.017,0.032,0.004,0.045,0.001,0.42,0.1,0.12,0.05
S382,Pune,18.5447,73.8392,6.81,0.015,0.018,0.009,0.03,0.003,0.32,0.07,0.14,0.08
S383,Kolhapur,16.6994,74.2791,7.26,0.022,0.023,0.003,0.03,0.002,0.34,0.03,0.14,0.06
S384,Ahmednagar,19.0869,74.7883,7.11,0.024,0.024,0.007,0.052,0.003,0.21,0.09,0.13,0.07
S385,Sangli,16.873,74.5563,7.02,0.004,0.036,0.004,0.037,0.002,0.39,0.01,0.14,0.06
S386,Nashik,19.9839,73.8416,6.78,0.021,0.028,0.008,0.029,0.001,0.39,0.11,0.08,0.05
S387,Solapur,17.6715,75.9315,6.83,0.002,0.03,0.003,0.016,0.0,0.37,0.1,0.13,0.09
S388,Nashik,20.0166,73.8383,6.65,0.016,0.015,0.005,0.034,0.003,0.3,0.12,0.17,0.1
S389,Pune,18.5109,73.8285,7.06,0.011,0.036,0.004,0.03,0.002,0.36,0.1,0.11,0.09
S390,Aurangabad,19.8505,75.3444,7.16,0.006,0.029,0.003,0.044,0.001,0.36,0.13,0.17,0.07
S391,Kolhapur,16.6981,74.226,7.37,0.012,0.019,0.006,0.028,0.001,0.18,0.09,0.14,0.06
S392,Pune,18.5489,73.8725,6.95,0.015,0.03,0.008,0.037,0.002,0.22,0.06,0.17,0.07
S393,Kolhapur,16.7223,74.2394,7.35,0.013,0.033,0.005,0.03,0.002,0.33,0.11,0.14,0.06
S394,Nagpur,21.2175,79.1237,7.18,0.017,0.033,0.006,0.036,0.002,0.29,0.01,0.15,0.05
S395,Nagpur,21.1936,79.0888,6.7,0.016,0.019,0.006,0.039,0.003,0.24,0.1,0.09,0.07
S396,Mumbai,19.0916,72.8926,7.0,0.018,0.037,0.004,0.037,0.001,0.23,0.1,0.18,0.05
S397,Kolhapur,16.6979,74.2311,6.87,0.018,0.016,0.008,0.029,0.003,0.2,0.12,0.17,0.07
S398,Sangli,16.8226,74.589,6.7,0.014,0.033,0.007,0.036,0.001,0.35,0.1,0.05,0.08
S399,Solapur,17.6592,75.9425,6.73,0.002,0.028,0.006,0.019,0.001,0.52,0.09,0.17,0.05
S400,Ahmednagar,19.0325,74.7445,6.93,0.014,0.025,0.006,0.034,0.001,0.34,0.04,0.06,0.07
S401,Nashik,20.0127,73.7881,6.65,0.012,0.024,0.002,0.029,0.003,0.41,0.09,0.17,0.02
S402,Nagpur,21.1656,79.0641,7.08,0.015,0.035,0.003,0.042,0.002,0.29,0.09,0.11,0.06
S403,Nashik,19.9956,73.797,7.02,0.021,0.032,0.003,0.045,0.001,0.35,0.12,0.06,0.06
S404,Nashik,19.9834,73.767,7.34,0.012,0.02,0.005,0.043,0.002,0.39,0.12,0.05,0.05
S405,Solapur,17.643,75.9208,6.5,0.031,0.03,0.005,0.048,0.004,0.37,0.13,0.15,0.06
S406,Pune,18.5061,73.8319,6.83,0.008,0.025,0.002,0.038,0.002,0.31,0.08,0.26,0.09
S407,Nashik,19.9602,73.7968,6.85,0.01,0.017,0.006,0.029,0.003,0.38,0.14,0.11,0.07
S408,Kolhapur,16.724,74.2291,6.81,0.026,0.028,0.006,0.028,0.001,0.25,0.1,0.1,0.06
S409,Solapur,17.6092,75.8728,7.17,0.02,0.023,0.003,0.026,0.002,0.35,0.13,0.12,0.04
S410,Nagpur,21.1538,79.0635,6.87,0.024,0.032,0.005,0.023,0.002,0.39,0.09,0.19,0.09
S411,Aurangabad,19.9261,75.3525,7.15,0.024,0.029,0.004,0.032,0.002,0.2,0.1,0.18,0.02
S412,Nashik,20.0435,73.8235,6.89,0.019,0.026,0.007,0.046,0.001,0.35,0.09,0.14,0.05
S413,Mumbai,19.1284,72.9089,6.82,0.008,0.023,0.006,0.038,0.003,0.36,0.13,0.15,0.03
S414,Solapur,17.654,75.9382,6.99,0.019,0.024,0.003,0.035,0.002,0.25,0.09,0.1,0.08
S415,Pune,18.5116,73.9003,7.38,0.016,0.019,0.001,0.021,0.001,0.41,0.1,0.16,0.02
S416,Satara,17.6446,74.0449,7.07,0.015,0.03,0.008,0.034,0.002,0.32,0.17,0.06,0.07
S417,Nagpur,21.1424,79.1052,6.84,0.016,0.031,0.011,0.044,0.001,0.27,0.09,0.07,0.05
S418,Nagpur,21.1678,79.05,7.26,0.019,0.021,0.005,0.052,0.003,0.3,0.09,0.14,0.05
S419,Satara,17.6174,74.0796,7.04,0.018,0.026,0.004,0.034,0.001,0.48,0.06,0.1,0.05
S420,Kolhapur,16.7436,74.2437,6.69,0.024,0.031,0.006,0.043,0.004,0.47,0.08,0.2,0.07
S421,Aurangabad,19.8912,75.2925,6.96,0.011,0.032,0.007,0.015,0.002,0.39,0.09,0.17,0.07
S422,Nagpur,21.156,79.0801,6.7,0.009,0.031,0.005,0.035,0.002,0.28,0.13,0.13,0.03
S423,Nagpur,21.1681,79.0821,7.01,0.026,0.026,0.006,0.024,0.002,0.35,0.05,0.15,0.06
S424,Pune,18.5216,73.8878,7.08,0.025,0.019,0.005,0.037,0.001,0.38,0.17,0.14,0.07
S425,Nagpur,21.1483,79.0668,6.54,0.012,0.016,0.008,0.035,0.002,0.37,0.07,0.11,0.06
S426,Solapur,17.6908,75.9215,7.06,0.016,0.029,0.005,0.026,0.002,0.21,0.1,0.12,0.11
S427,Kolhapur,16.7038,74.2012,6.97,0.019,0.038,0.004,0.02,0.003,0.19,0.09,0.13,0.06
S428,Aurangabad,19.8969,75.3228,6.93,0.016,0.027,0.005,0.04,0.003,0.33,0.11,0.08,0.06
S429,Mumbai,19.0904,72.8996,6.83,0.012,0.022,0.006,0.046,0.002,0.37,0.1,0.14,0.06
S430,Aurangabad,19.8986,75.3531,7.57,0.011,0.03,0.004,0.027,0.002,0.31,0.19,0.13,0.04
S431,Kolhapur,16.7132,74.1811,6.98,0.016,0.032,0.007,0.031,0.002,0.24,0.07,0.15,0.03
S432,Sangli,16.84,74.5516,7.14,0.027,0.017,0.001,0.035,0.002,0.32,0.09,0.13,0.07
S433,Solapur,17.6911,75.8477,6.91,0.017,0.02,0.008,0.03,0.002,0.34,0.08,0.07,0.05
S434,Sangli,16.8833,74.5714,6.79,0.022,0.024,0.004,0.037,0.003,0.49,0.12,0.19,0.05
S435,Kolhapur,16.6742,74.2452,7.03,0.01,0.025,0.006,0.04,0.002,0.32,0.08,0.12,0.04
S436,Pune,18.5739,73.8571,6.94,0.01,0.047,0.003,0.032,0.002,0.35,0.13,0.21,0.07
S437,Mumbai,19.0443,72.87,7.08,0.028,0.016,0.007,0.038,0.003,0.29,0.07,0.17,0.07
S438,Aurangabad,19.9054,75.3429,6.85,0.007,0.032,0.006,0.026,0.002,0.26,0.06,0.11,0.04
S439,Nashik,19.9851,73.7676,6.59,0.028,0.035,0.003,0.039,0.002,0.4,0.08,0.18,0.05
S440,Ahmednagar,19.0551,74.7713,7.32,0.032,0.018,0.006,0.032,0.003,0.18,0.06,0.11,0.06
S441,Aurangabad,19.857,75.3631,7.26,0.02,0.037,0.006,0.024,0.003,0.25,0.13,0.2,0.07
S442,Pune,18.4755,73.8292,7.33,0.015,0.027,0.007,0.043,0.002,0.28,0.09,0.17,0.07
S443,Mumbai,19.0683,72.9102,6.97,0.011,0.021,0.003,0.033,0.003,0.24,0.11,0.11,0.05
S444,Ahmednagar,19.0499,74.743,6.95,0.019,0.028,0.003,0.047,0.002,0.32,0.1,0.12,0.06
S445,Solapur,17.6742,75.854,6.87,0.014,0.028,0.007,0.028,0.002,0.26,0.08,0.13,0.08
S446,Kolhapur,16.6734,74.2561,6.57,0.013,0.024,0.008,0.033,0.0,0.14,0.1,0.16,0.07
S447,Kolhapur,16.71,74.2782,6.87,0.021,0.015,0.003,0.018,0.002,0.3,0.1,0.14,0.04
S448,Solapur,17.6542,75.8615,7.34,0.014,0.023,0.008,0.024,0.001,0.21,0.1,0.16,0.07
S449,Ahmednagar,19.1724,74.6821,7.15,0.013,0.022,0.004,0.027,0.003,0.37,0.1,0.19,0.03
S450,Sangli,16.8125,74.5162,6.83,0.017,0.027,0.005,0.022,0.003,0.32,0.12,0.06,0.07
S451,Mumbai,19.0404,72.8658,7.13,0.017,0.02,0.005,0.021,0.003,0.28,0.13,0.12,0.05
S452,Solapur,17.637,75.9327,6.82,0.02,0.023,0.001,0.03,0.001,0.3,0.06,0.18,0.06
S453,Ahmednagar,19.0899,74.7693,7.24,0.016,0.021,0.001,0.029,0.002,0.31,0.09,0.17,0.05
S454,Nagpur,21.1441,79.1237,7.09,0.016,0.022,0.004,0.027,0.002,0.36,0.09,0.09,0.1
S455,Aurangabad,19.8858,75.3011,6.89,0.017,0.038,0.003,0.046,0.003,0.25,0.09,0.1,0.06
S456,Pune,18.5193,73.8765,7.27,0.012,0.012,0.005,0.039,0.002,0.27,0.1,0.2,0.07
S457,Solapur,17.6487,75.8914,6.96,0.026,0.025,0.005,0.031,0.003,0.46,0.11,0.14,0.06
S458,Pune,18.4489,73.8791,7.03,0.019,0.021,0.004,0.032,0.003,0.27,0.16,0.16,0.03
S459,Sangli,16.8485,74.5619,6.5,0.026,0.031,0.006,0.038,0.001,0.26,0.13,0.1,0.01
S460,Sangli,16.8456,74.5772,7.03,0.02,0.03,0.006,0.048,0.001,0.34,0.12,0.09,0.03
S461,Nagpur,21.1234,79.0684,7.19,0.012,0.02,0.004,0.047,0.002,0.29,0.1,0.19,0.05
S462,Kolhapur,16.7445,74.2496,6.96,0.031,0.019,0.004,0.024,0.003,0.44,0.15,0.19,0.06
S463,Solapur,17.6489,75.8563,7.51,0.019,0.023,0.008,0.026,0.002,0.29,0.12,0.14,0.03
S464,Mumbai,19.0783,72.9092,6.99,0.021,0.019,0.005,0.03,0.003,0.3,0.12,0.18,0.07
S465,Kolhapur,16.7132,74.2134,7.0,0.013,0.024,0.004,0.026,0.0,0.25,0.11,0.09,0.06
S466,Ahmednagar,19.1522,74.7803,7.41,0.018,0.034,0.004,0.03,0.0,0.39,0.15,0.12,0.05
S467,Kolhapur,16.6824,74.2548,7.28,0.006,0.029,0.004,0.037,0.002,0.28,0.1,0.13,0.08
S468,Mumbai,19.0886,72.8843,6.68,0.014,0.032,0.005,0.043,0.003,0.38,0.1,0.12,0.01
S469,Aurangabad,19.8711,75.3335,7.1,0.015,0.024,0.001,0.027,0.002,0.44,0.1,0.15,0.08
S470,Sangli,16.8281,74.5925,6.81,0.021,0.027,0.006,0.028,0.003,0.47,0.07,0.13,0.06
S471,Aurangabad,19.8998,75.3265,6.5,0.024,0.031,0.002,0.03,0.003,0.42,0.13,0.13,0.06
S472,Solapur,17.656,75.9402,6.78,0.011,0.033,0.005,0.05,0.001,0.3,0.07,0.14,0.03
S473,Kolhapur,16.6904,74.2002,7.17,0.02,0.014,0.008,0.061,0.002,0.25,0.18,0.09,0.06
S474,Solapur,17.6653,75.9468,7.09,0.013,0.019,0.004,0.026,0.002,0.25,0.06,0.19,0.05
S475,Aurangabad,19.8382,75.3383,7.02,0.006,0.028,0.003,0.053,0.002,0.27,0.08,0.14,0.07
